MemTotal:       527849008 kB
MemFree:        508299924 kB
MemAvailable:   507026928 kB
Buffers:               0 kB
Cached:         10846496 kB
SwapCached:            0 kB
Active:         10856212 kB
Inactive:         326036 kB
Active(anon):   10598652 kB
Inactive(anon):        0 kB
Active(file):     257560 kB
Inactive(file):   326036 kB
Unevictable:        3072 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:                 0 kB
Writeback:             8 kB
AnonPages:        336732 kB
Mapped:           206968 kB
Shmem:          10262900 kB
KReclaimable:     268440 kB
Slab:            1352880 kB
SReclaimable:     268440 kB
SUnreclaim:      1084440 kB
KernelStack:       15328 kB
PageTables:         3920 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    263924504 kB
Committed_AS:   11120212 kB
VmallocTotal:   13743895347199 kB
VmallocUsed:      429444 kB
VmallocChunk:          0 kB
Percpu:            62208 kB
HardwareCorrupted:     0 kB
AnonHugePages:     34816 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:    44515324 kB
DirectMap2M:    479275008 kB
DirectMap1G:    15728640 kB
