nodes,rep,hostname,bw_mbps,iops,lat_mean_us,lat_p50_us,lat_p95_us,lat_p99_us,lat_max_us,start_ts,end_ts
1,1,rpg-93-1,2491.3,19930,3162.6,3096.6,3751.9,4292.6,9910.3,1789329405.006,1789329465.406
1,2,rpg-93-1,3768.0,30144,2121.7,2089.0,2474.0,2736.1,4182.6,1789329473.005,1789329533.415
1,3,rpg-93-1,2535.9,20287,3153.2,3063.8,3751.9,4227.1,7695.0,1789329541.005,1789329601.411
2,1,rpg-93-1,2538.8,20310,3149.5,3063.8,3719.2,4145.2,14458.7,1789329609.005,1789329669.405
2,1,rpg-93-2,2569.9,20559,3111.5,3031.0,3686.4,4112.4,8570.8,1789329609.007,1789329669.409
2,2,rpg-93-1,3656.7,29254,2186.2,2146.3,2572.3,2834.4,14587.0,1789329677.006,1789329737.407
2,2,rpg-93-2,2493.3,19946,3207.1,3129.3,3784.7,4292.6,15009.2,1789329677.005,1789329737.407
2,3,rpg-93-1,3679.2,29434,2172.9,2146.3,2572.3,2834.4,4425.3,1789329745.005,1789329805.405
2,3,rpg-93-2,2490.2,19921,3211.2,3129.3,3784.7,4292.6,8893.0,1789329745.005,1789329805.407
4,1,rpg-93-1,3667.8,29343,2179.7,2146.3,2572.3,2867.2,4538.9,1789329813.006,1789329873.405
4,1,rpg-93-2,3967.6,31741,2014.9,1974.3,2375.7,2605.1,4064.3,1789329813.005,1789329873.406
4,1,rpg-93-3,3566.5,28532,2240.3,2211.8,2670.6,2998.3,5031.9,1789329813.009,1789329873.422
4,1,rpg-93-4,2454.3,19634,3257.8,3194.9,3784.7,4112.4,7398.3,1789329813.008,1789329873.415
4,2,rpg-93-1,1419.0,11352,5635.8,5603.3,6258.7,7045.1,12698.2,1789329881.005,1789329941.406
4,2,rpg-93-2,1420.1,11361,5631.6,5603.3,6258.7,6783.0,13104.9,1789329881.005,1789329941.406
4,2,rpg-93-3,1390.6,11125,5750.4,5734.4,6389.8,7045.1,11268.4,1789329881.008,1789329941.417
4,2,rpg-93-4,1393.0,11144,5741.0,5734.4,6389.8,6848.5,10974.3,1789329881.006,1789329941.411
4,3,rpg-93-1,2529.0,20232,3161.8,3096.6,3719.2,4227.1,7810.6,1789329949.006,1789330009.406
4,3,rpg-93-2,3983.6,31869,2006.9,1974.3,2375.7,2605.1,3664.2,1789329949.005,1789330009.406
4,3,rpg-93-3,3610.1,28881,2213.4,2179.1,2605.1,2900.0,4639.3,1789329949.009,1789330009.415
4,3,rpg-93-4,2401.2,19210,3329.9,3260.4,3883.0,4292.6,8874.0,1789329949.006,1789330009.412
