engine,njobs,rep,bw_mbps,iops,lat_mean_us,lat_p50_us,lat_p95_us,lat_p99_us,lat_max_us
posixaio,1,1,4993.6,39949,395.8,350.2,995.3,1318.9,3486.2
posixaio,1,2,4991.7,39933,395.8,350.2,1003.5,1335.3,4615.9
posixaio,1,3,4992.9,39943,395.6,350.2,1003.5,1335.3,4445.3
posixaio,2,1,5993.0,47944,663.0,272.4,2244.6,4046.8,8734.9
posixaio,2,2,5995.4,47963,662.8,284.7,2211.8,4046.8,9309.3
posixaio,2,3,5998.8,47990,662.4,284.7,2244.6,3948.5,8590.5
posixaio,4,1,5622.1,44977,1418.8,1220.6,4620.3,8355.8,20139.8
posixaio,4,2,5623.6,44989,1418.3,1204.2,4620.3,8585.2,19496.2
posixaio,4,3,5622.0,44976,1418.7,1204.2,4489.2,8978.4,18477.4
posixaio,8,1,5400.8,43207,2958.1,3031.0,8290.3,11993.1,23607.5
posixaio,8,2,5447.1,43577,2933.0,2965.5,8355.8,11993.1,37482.3
posixaio,8,3,5449.3,43594,2931.9,3063.8,8028.2,11468.8,25885.6
posixaio,16,1,5602.2,44818,5705.6,4227.1,21626.9,39059.5,107641.6
posixaio,16,2,5706.3,45651,5601.6,3784.7,21626.9,37486.6,132380.0
posixaio,16,3,5751.1,46008,5558.1,3326.0,21364.7,36962.3,109839.1
