sample,timestamp,wall_time,bw_mbps,iops,lat_mean_us,lat_p50_us,lat_p95_us,lat_p99_us,lat_max_us
1,2026-09-13T16:18:07-05:00,0,2456.9,19655,3111.6,3031.0,3686.4,4358.1,7531.0
2,2026-09-13T16:18:27-05:00,20,2586.6,20693,3091.2,2998.3,3653.6,4227.1,7198.3
3,2026-09-13T16:18:48-05:00,41,2595.8,20766,3080.2,2998.3,3653.6,4145.2,7063.5
4,2026-09-13T16:19:08-05:00,61,2605.9,20848,3068.3,2998.3,3588.1,4079.6,6859.0
5,2026-09-13T16:19:29-05:00,82,2590.7,20725,3086.4,2998.3,3653.6,4145.2,6954.2
6,2026-09-13T16:19:49-05:00,102,2592.0,20736,3084.8,2998.3,3653.6,4145.2,7203.1
7,2026-09-13T16:20:09-05:00,122,2585.6,20685,3092.3,2998.3,3653.6,4227.1,8997.7
8,2026-09-13T16:20:30-05:00,143,2587.7,20702,3089.9,2998.3,3653.6,4177.9,6953.2
9,2026-09-13T16:20:50-05:00,163,2584.8,20678,3093.4,2998.3,3653.6,4292.6,6704.7
10,2026-09-13T16:21:11-05:00,184,2590.0,20720,3087.2,2998.3,3653.6,4145.2,7494.1
11,2026-09-13T16:21:31-05:00,204,2589.7,20718,3087.4,2998.3,3620.9,4112.4,6813.3
12,2026-09-13T16:21:51-05:00,224,2579.5,20636,3099.6,3031.0,3686.4,4292.6,6794.3
13,2026-09-13T16:22:12-05:00,245,2585.8,20686,3092.2,2998.3,3653.6,4227.1,6787.7
14,2026-09-13T16:22:32-05:00,265,2573.8,20591,3106.6,3031.0,3686.4,4292.6,7180.0
15,2026-09-13T16:22:53-05:00,286,2584.7,20678,3093.4,2998.3,3653.6,4292.6,7842.9
16,2026-09-13T16:23:13-05:00,306,2591.4,20731,3085.5,2998.3,3620.9,4046.8,6168.0
17,2026-09-13T16:23:34-05:00,327,2577.6,20621,3101.9,3031.0,3686.4,4292.6,7137.3
18,2026-09-13T16:23:54-05:00,347,2596.2,20769,3079.8,2998.3,3620.9,4112.4,7280.6
19,2026-09-13T16:24:14-05:00,367,2587.2,20698,3090.6,2998.3,3653.6,4177.9,6883.6
20,2026-09-13T16:24:35-05:00,388,2584.1,20672,3094.1,2998.3,3653.6,4358.1,7022.8
21,2026-09-13T16:24:55-05:00,408,2566.4,20531,3115.6,3031.0,3686.4,4177.9,6798.6
22,2026-09-13T16:25:16-05:00,429,2590.0,20720,3087.2,2998.3,3620.9,4177.9,6948.9
23,2026-09-13T16:25:36-05:00,449,2590.9,20728,3086.1,2998.3,3653.6,4292.6,6900.8
24,2026-09-13T16:25:57-05:00,470,2584.6,20677,3093.7,2998.3,3686.4,4145.2,7164.1
25,2026-09-13T16:26:17-05:00,490,2595.3,20762,3080.9,2998.3,3620.9,4145.2,7241.4
