sample,timestamp,wall_time,phase,agg_nodes,bw_mbps,iops,lat_mean_us,lat_p50_us,lat_p95_us,lat_p99_us,lat_max_us
1,2026-09-13T18:54:51-05:00,0,quiet_0,0,3567.3,28538,2142.5,2113.5,2539.5,2768.9,5632.1
2,2026-09-13T18:55:12-05:00,21,quiet_0,0,3824.3,30595,2090.0,2056.2,2474.0,2736.1,3915.2
3,2026-09-13T18:55:32-05:00,41,quiet_0,0,3820.4,30564,2092.3,2056.2,2441.2,2703.4,3933.2
4,2026-09-13T18:55:53-05:00,62,quiet_0,0,3809.0,30472,2098.6,2056.2,2474.0,2736.1,12314.8
5,2026-09-13T18:56:13-05:00,82,quiet_0,0,3822.8,30583,2091.0,2056.2,2474.0,2736.1,4528.6
6,2026-09-13T18:56:34-05:00,103,quiet_0,0,3841.8,30734,2080.8,2039.8,2474.0,2768.9,4091.7
7,2026-09-13T18:56:54-05:00,123,quiet_0,0,3835.7,30686,2083.8,2056.2,2441.2,2736.1,13924.9
8,2026-09-13T18:57:14-05:00,143,quiet_0,0,3825.4,30603,2089.4,2056.2,2474.0,2736.1,4247.7
9,2026-09-13T18:57:35-05:00,164,quiet_0,0,3838.4,30707,2081.1,2039.8,2474.0,2768.9,4025.7
10,2026-09-13T18:57:55-05:00,184,quiet_0,0,3788.5,30308,2109.9,2072.6,2506.8,2801.7,7749.1
11,2026-09-13T18:58:16-05:00,205,quiet_0,0,3814.1,30513,2095.6,2056.2,2474.0,2768.9,4136.7
12,2026-09-13T18:58:36-05:00,225,quiet_0,0,3818.6,30549,2093.1,2056.2,2474.0,2768.9,4472.4
13,2026-09-13T18:58:57-05:00,246,quiet_0,0,3806.8,30454,2099.6,2072.6,2474.0,2768.9,4027.0
14,2026-09-13T18:59:17-05:00,266,quiet_0,0,3800.4,30404,2103.2,2072.6,2474.0,2736.1,3977.7
15,2026-09-13T18:59:37-05:00,286,quiet_0,0,3834.2,30673,2084.8,2039.8,2474.0,2768.9,3991.3
