timestamp, index, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], utilization.gpu [%], memory.used [MiB]
2026/09/15 20:55:21.050, 0, 345 MHz, 2619 MHz, 61.57 W, 0 %, 0 MiB
2026/09/15 20:55:21.165, 0, 345 MHz, 2619 MHz, 61.57 W, 0 %, 0 MiB
2026/09/15 20:55:21.265, 0, 345 MHz, 2619 MHz, 61.58 W, 0 %, 0 MiB
2026/09/15 20:55:21.366, 0, 345 MHz, 2619 MHz, 61.59 W, 0 %, 0 MiB
2026/09/15 20:55:21.466, 0, 345 MHz, 2619 MHz, 61.60 W, 0 %, 0 MiB
2026/09/15 20:55:21.566, 0, 345 MHz, 2619 MHz, 61.61 W, 0 %, 0 MiB
2026/09/15 20:55:21.666, 0, 345 MHz, 2619 MHz, 61.61 W, 0 %, 0 MiB
2026/09/15 20:55:21.767, 0, 345 MHz, 2619 MHz, 61.62 W, 0 %, 0 MiB
2026/09/15 20:55:21.867, 0, 345 MHz, 2619 MHz, 61.61 W, 0 %, 0 MiB
2026/09/15 20:55:21.967, 0, 345 MHz, 2619 MHz, 61.62 W, 0 %, 0 MiB
2026/09/15 20:55:22.068, 0, 345 MHz, 2619 MHz, 61.63 W, 0 %, 0 MiB
2026/09/15 20:55:22.168, 0, 345 MHz, 2619 MHz, 61.62 W, 0 %, 0 MiB
2026/09/15 20:55:22.268, 0, 345 MHz, 2619 MHz, 61.63 W, 0 %, 0 MiB
2026/09/15 20:55:22.369, 0, 345 MHz, 2619 MHz, 61.60 W, 0 %, 0 MiB
2026/09/15 20:55:22.469, 0, 345 MHz, 2619 MHz, 61.60 W, 0 %, 0 MiB
2026/09/15 20:55:22.569, 0, 345 MHz, 2619 MHz, 61.62 W, 0 %, 0 MiB
2026/09/15 20:55:22.670, 0, 345 MHz, 2619 MHz, 61.62 W, 0 %, 0 MiB
2026/09/15 20:55:22.770, 0, 345 MHz, 2619 MHz, 61.65 W, 0 %, 0 MiB
2026/09/15 20:55:22.870, 0, 345 MHz, 2619 MHz, 61.65 W, 0 %, 0 MiB
2026/09/15 20:55:22.971, 0, 345 MHz, 2619 MHz, 61.64 W, 0 %, 0 MiB
2026/09/15 20:55:23.071, 0, 345 MHz, 2619 MHz, 61.64 W, 0 %, 0 MiB
2026/09/15 20:55:23.171, 0, 345 MHz, 2619 MHz, 61.64 W, 0 %, 0 MiB
2026/09/15 20:55:23.272, 0, 345 MHz, 2619 MHz, 61.63 W, 0 %, 0 MiB
2026/09/15 20:55:23.372, 0, 345 MHz, 2619 MHz, 61.64 W, 0 %, 0 MiB
2026/09/15 20:55:23.472, 0, 345 MHz, 2619 MHz, 61.63 W, 0 %, 0 MiB
2026/09/15 20:55:23.573, 0, 345 MHz, 2619 MHz, 61.62 W, 0 %, 0 MiB
2026/09/15 20:55:23.673, 0, 345 MHz, 2619 MHz, 61.61 W, 0 %, 0 MiB
2026/09/15 20:55:23.773, 0, 345 MHz, 2619 MHz, 61.58 W, 0 %, 0 MiB
2026/09/15 20:55:23.874, 0, 345 MHz, 2619 MHz, 61.58 W, 0 %, 0 MiB
2026/09/15 20:55:23.974, 0, 345 MHz, 2619 MHz, 61.58 W, 0 %, 0 MiB
2026/09/15 20:55:24.074, 0, 345 MHz, 2619 MHz, 61.57 W, 0 %, 0 MiB
2026/09/15 20:55:24.175, 0, 345 MHz, 2619 MHz, 61.59 W, 0 %, 0 MiB
2026/09/15 20:55:24.275, 0, 345 MHz, 2619 MHz, 61.59 W, 0 %, 0 MiB
2026/09/15 20:55:24.375, 0, 345 MHz, 2619 MHz, 61.58 W, 0 %, 0 MiB
2026/09/15 20:55:24.476, 0, 345 MHz, 2619 MHz, 61.59 W, 0 %, 0 MiB
2026/09/15 20:55:24.576, 0, 345 MHz, 2619 MHz, 61.61 W, 0 %, 0 MiB
2026/09/15 20:55:24.677, 0, 345 MHz, 2619 MHz, 61.61 W, 0 %, 0 MiB
2026/09/15 20:55:24.777, 0, 345 MHz, 2619 MHz, 61.61 W, 0 %, 0 MiB
2026/09/15 20:55:24.877, 0, 345 MHz, 2619 MHz, 61.63 W, 0 %, 0 MiB
2026/09/15 20:55:24.977, 0, 345 MHz, 2619 MHz, 61.64 W, 0 %, 0 MiB
2026/09/15 20:55:25.078, 0, 345 MHz, 2619 MHz, 61.64 W, 0 %, 0 MiB
2026/09/15 20:55:25.178, 0, 345 MHz, 2619 MHz, 61.62 W, 0 %, 0 MiB
2026/09/15 20:55:25.279, 0, 345 MHz, 2619 MHz, 61.63 W, 0 %, 0 MiB
