timestamp, index, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], utilization.gpu [%], memory.used [MiB]
2026/09/16 00:30:20.859, 0, 345 MHz, 2619 MHz, 63.23 W, 0 %, 0 MiB
2026/09/16 00:30:21.064, 0, 345 MHz, 2619 MHz, 63.28 W, 0 %, 0 MiB
2026/09/16 00:30:21.265, 0, 345 MHz, 2619 MHz, 63.29 W, 0 %, 0 MiB
2026/09/16 00:30:21.465, 0, 345 MHz, 2619 MHz, 63.31 W, 0 %, 0 MiB
2026/09/16 00:30:21.665, 0, 345 MHz, 2619 MHz, 63.28 W, 0 %, 0 MiB
2026/09/16 00:30:21.866, 0, 345 MHz, 2619 MHz, 63.27 W, 0 %, 0 MiB
2026/09/16 00:30:22.066, 0, 345 MHz, 2619 MHz, 63.20 W, 0 %, 0 MiB
2026/09/16 00:30:22.267, 0, 345 MHz, 2619 MHz, 63.16 W, 0 %, 0 MiB
2026/09/16 00:30:22.467, 0, 345 MHz, 2619 MHz, 63.17 W, 0 %, 0 MiB
2026/09/16 00:30:22.667, 0, 345 MHz, 2619 MHz, 63.19 W, 0 %, 0 MiB
2026/09/16 00:30:22.867, 0, 345 MHz, 2619 MHz, 63.20 W, 0 %, 0 MiB
2026/09/16 00:30:23.068, 0, 345 MHz, 2619 MHz, 63.22 W, 0 %, 0 MiB
2026/09/16 00:30:23.268, 0, 345 MHz, 2619 MHz, 63.19 W, 0 %, 0 MiB
2026/09/16 00:30:23.468, 0, 345 MHz, 2619 MHz, 63.17 W, 0 %, 0 MiB
2026/09/16 00:30:23.669, 0, 345 MHz, 2619 MHz, 63.14 W, 0 %, 0 MiB
2026/09/16 00:30:23.869, 0, 345 MHz, 2619 MHz, 63.12 W, 0 %, 0 MiB
2026/09/16 00:30:24.069, 0, 345 MHz, 2619 MHz, 63.13 W, 0 %, 0 MiB
2026/09/16 00:30:24.270, 0, 345 MHz, 2619 MHz, 63.17 W, 0 %, 0 MiB
2026/09/16 00:30:24.470, 0, 345 MHz, 2619 MHz, 63.17 W, 0 %, 0 MiB
2026/09/16 00:30:24.670, 0, 345 MHz, 2619 MHz, 63.20 W, 0 %, 0 MiB
2026/09/16 00:30:24.870, 0, 345 MHz, 2619 MHz, 63.22 W, 0 %, 0 MiB
2026/09/16 00:30:25.071, 0, 345 MHz, 2619 MHz, 63.22 W, 0 %, 0 MiB
2026/09/16 00:30:25.271, 0, 345 MHz, 2619 MHz, 63.22 W, 0 %, 0 MiB
2026/09/16 00:30:25.471, 0, 345 MHz, 2619 MHz, 63.22 W, 0 %, 0 MiB
2026/09/16 00:30:25.672, 0, 345 MHz, 2619 MHz, 63.21 W, 0 %, 0 MiB
2026/09/16 00:30:25.872, 0, 345 MHz, 2619 MHz, 63.20 W, 0 %, 0 MiB
2026/09/16 00:30:26.072, 0, 345 MHz, 2619 MHz, 63.22 W, 0 %, 0 MiB
2026/09/16 00:30:26.273, 0, 345 MHz, 2619 MHz, 63.22 W, 0 %, 0 MiB
2026/09/16 00:30:26.473, 0, 345 MHz, 2619 MHz, 63.23 W, 0 %, 0 MiB
2026/09/16 00:30:26.673, 0, 345 MHz, 2619 MHz, 63.22 W, 0 %, 0 MiB
2026/09/16 00:30:26.873, 0, 345 MHz, 2619 MHz, 63.23 W, 0 %, 0 MiB
2026/09/16 00:30:27.074, 0, 345 MHz, 2619 MHz, 63.24 W, 0 %, 0 MiB
