timestamp, index, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2026/09/12 15:05:14.621, 0, 62.61 W, 0 %, 0 %, 0 MiB
2026/09/12 15:05:14.626, 1, 63.17 W, 0 %, 0 %, 0 MiB
2026/09/12 15:05:14.631, 2, 64.54 W, 0 %, 0 %, 0 MiB
2026/09/12 15:05:14.636, 3, 63.61 W, 0 %, 0 %, 0 MiB
2026/09/12 15:05:15.642, 0, 62.61 W, 0 %, 0 %, 0 MiB
2026/09/12 15:05:15.642, 1, 63.15 W, 0 %, 0 %, 0 MiB
2026/09/12 15:05:15.642, 2, 64.51 W, 0 %, 0 %, 0 MiB
2026/09/12 15:05:15.642, 3, 63.62 W, 0 %, 0 %, 0 MiB
2026/09/12 15:05:16.642, 0, 62.61 W, 0 %, 0 %, 0 MiB
2026/09/12 15:05:16.642, 1, 63.16 W, 0 %, 0 %, 0 MiB
2026/09/12 15:05:16.642, 2, 64.50 W, 0 %, 0 %, 0 MiB
2026/09/12 15:05:16.642, 3, 63.58 W, 0 %, 0 %, 0 MiB
2026/09/12 15:05:17.642, 0, 62.61 W, 0 %, 0 %, 0 MiB
2026/09/12 15:05:17.642, 1, 63.16 W, 0 %, 0 %, 0 MiB
2026/09/12 15:05:17.642, 2, 64.53 W, 0 %, 0 %, 0 MiB
2026/09/12 15:05:17.642, 3, 63.53 W, 0 %, 0 %, 0 MiB
2026/09/12 15:05:18.643, 0, 62.61 W, 0 %, 0 %, 0 MiB
2026/09/12 15:05:18.643, 1, 63.15 W, 0 %, 0 %, 0 MiB
2026/09/12 15:05:18.643, 2, 64.51 W, 0 %, 0 %, 0 MiB
2026/09/12 15:05:18.643, 3, 63.60 W, 0 %, 0 %, 0 MiB
2026/09/12 15:05:19.643, 0, 62.62 W, 0 %, 0 %, 0 MiB
2026/09/12 15:05:19.643, 1, 63.17 W, 0 %, 0 %, 0 MiB
2026/09/12 15:05:19.643, 2, 64.50 W, 0 %, 0 %, 0 MiB
2026/09/12 15:05:19.643, 3, 63.54 W, 0 %, 0 %, 0 MiB
