timestamp, index, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2026/09/12 13:21:08.064, 0, 62.10 W, 0 %, 0 %, 0 MiB
2026/09/12 13:21:08.069, 1, 63.15 W, 0 %, 0 %, 0 MiB
2026/09/12 13:21:08.074, 2, 64.54 W, 0 %, 0 %, 0 MiB
2026/09/12 13:21:08.080, 3, 63.48 W, 0 %, 0 %, 0 MiB
2026/09/12 13:21:09.085, 0, 62.10 W, 0 %, 0 %, 0 MiB
2026/09/12 13:21:09.085, 1, 63.16 W, 0 %, 0 %, 0 MiB
2026/09/12 13:21:09.085, 2, 64.51 W, 0 %, 0 %, 0 MiB
2026/09/12 13:21:09.085, 3, 63.57 W, 0 %, 0 %, 0 MiB
2026/09/12 13:21:10.085, 0, 62.09 W, 0 %, 0 %, 0 MiB
2026/09/12 13:21:10.085, 1, 63.15 W, 0 %, 0 %, 0 MiB
2026/09/12 13:21:10.085, 2, 64.50 W, 0 %, 0 %, 0 MiB
2026/09/12 13:21:10.085, 3, 63.57 W, 0 %, 0 %, 0 MiB
2026/09/12 13:21:11.085, 0, 62.09 W, 0 %, 0 %, 0 MiB
2026/09/12 13:21:11.086, 1, 63.15 W, 0 %, 0 %, 0 MiB
2026/09/12 13:21:11.086, 2, 64.48 W, 0 %, 0 %, 0 MiB
2026/09/12 13:21:11.086, 3, 63.52 W, 0 %, 0 %, 0 MiB
2026/09/12 13:21:12.086, 0, 62.12 W, 0 %, 0 %, 0 MiB
2026/09/12 13:21:12.086, 1, 63.14 W, 0 %, 0 %, 0 MiB
2026/09/12 13:21:12.086, 2, 64.46 W, 0 %, 0 %, 0 MiB
2026/09/12 13:21:12.086, 3, 63.51 W, 0 %, 0 %, 0 MiB
2026/09/12 13:21:13.086, 0, 62.09 W, 0 %, 0 %, 0 MiB
2026/09/12 13:21:13.086, 1, 63.14 W, 0 %, 0 %, 0 MiB
2026/09/12 13:21:13.086, 2, 64.50 W, 0 %, 0 %, 0 MiB
2026/09/12 13:21:13.086, 3, 63.51 W, 0 %, 0 %, 0 MiB
2026/09/12 13:21:14.086, 0, 62.09 W, 0 %, 0 %, 0 MiB
2026/09/12 13:21:14.086, 1, 63.15 W, 0 %, 0 %, 0 MiB
2026/09/12 13:21:14.086, 2, 64.49 W, 0 %, 0 %, 0 MiB
2026/09/12 13:21:14.086, 3, 63.54 W, 0 %, 0 %, 0 MiB
2026/09/12 13:21:15.086, 0, 62.18 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:15.168, 1, 63.17 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:15.168, 2, 64.47 W, 0 %, 0 %, 1 MiB
2026/09/12 13:21:15.168, 3, 63.55 W, 0 %, 0 %, 1 MiB
2026/09/12 13:21:16.168, 0, 62.10 W, 0 %, 0 %, 1531 MiB
2026/09/12 13:21:16.168, 1, 63.16 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:16.168, 2, 64.50 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:16.168, 3, 63.53 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:17.168, 0, 62.46 W, 0 %, 0 %, 6069 MiB
2026/09/12 13:21:17.168, 1, 63.15 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:17.169, 2, 64.47 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:17.169, 3, 63.51 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:18.169, 0, 62.65 W, 14 %, 0 %, 11417 MiB
2026/09/12 13:21:18.169, 1, 63.18 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:18.169, 2, 64.50 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:18.169, 3, 63.52 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:19.169, 0, 62.65 W, 10 %, 0 %, 15975 MiB
2026/09/12 13:21:19.169, 1, 63.15 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:19.169, 2, 64.48 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:19.169, 3, 63.51 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:20.169, 0, 75.26 W, 100 %, 9 %, 17141 MiB
2026/09/12 13:21:20.169, 1, 63.14 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:20.169, 2, 64.52 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:20.169, 3, 63.51 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:21.169, 0, 159.98 W, 100 %, 9 %, 17141 MiB
2026/09/12 13:21:21.170, 1, 63.10 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:21.170, 2, 64.49 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:21.170, 3, 63.57 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:22.170, 0, 160.59 W, 100 %, 9 %, 18549 MiB
2026/09/12 13:21:22.170, 1, 63.08 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:22.170, 2, 64.49 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:22.170, 3, 63.42 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:23.170, 0, 155.69 W, 100 %, 9 %, 20777 MiB
2026/09/12 13:21:23.170, 1, 63.10 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:23.170, 2, 64.43 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:23.170, 3, 63.52 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:24.170, 0, 159.58 W, 100 %, 9 %, 20777 MiB
2026/09/12 13:21:24.170, 1, 63.11 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:24.170, 2, 64.47 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:24.170, 3, 63.50 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:25.170, 0, 160.37 W, 100 %, 9 %, 20777 MiB
2026/09/12 13:21:25.171, 1, 63.09 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:25.171, 2, 64.51 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:25.171, 3, 63.45 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:26.171, 0, 159.55 W, 100 %, 8 %, 20777 MiB
2026/09/12 13:21:26.171, 1, 63.09 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:26.171, 2, 64.49 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:26.171, 3, 63.48 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:27.171, 0, 160.51 W, 100 %, 9 %, 20777 MiB
2026/09/12 13:21:27.171, 1, 63.07 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:27.171, 2, 64.42 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:27.171, 3, 63.53 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:28.171, 0, 163.10 W, 100 %, 9 %, 20777 MiB
2026/09/12 13:21:28.171, 1, 63.07 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:28.171, 2, 64.49 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:28.171, 3, 63.51 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:29.171, 0, 161.01 W, 100 %, 9 %, 20777 MiB
2026/09/12 13:21:29.171, 1, 63.08 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:29.172, 2, 64.46 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:29.172, 3, 63.59 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:30.172, 0, 163.63 W, 100 %, 9 %, 20777 MiB
2026/09/12 13:21:30.172, 1, 63.09 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:30.172, 2, 64.47 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:30.172, 3, 63.47 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:31.172, 0, 159.44 W, 100 %, 9 %, 20777 MiB
2026/09/12 13:21:31.172, 1, 63.10 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:31.172, 2, 64.48 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:31.172, 3, 63.53 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:32.172, 0, 150.90 W, 100 %, 10 %, 25257 MiB
2026/09/12 13:21:32.172, 1, 63.12 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:32.172, 2, 64.51 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:32.172, 3, 63.56 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:33.172, 0, 146.85 W, 100 %, 11 %, 26153 MiB
2026/09/12 13:21:33.172, 1, 63.12 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:33.172, 2, 64.50 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:33.173, 3, 63.51 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:34.173, 0, 146.39 W, 100 %, 11 %, 34169 MiB
2026/09/12 13:21:34.173, 1, 63.10 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:34.173, 2, 64.49 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:34.173, 3, 63.54 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:35.173, 0, 146.66 W, 100 %, 11 %, 34169 MiB
2026/09/12 13:21:35.173, 1, 63.12 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:35.173, 2, 64.49 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:35.173, 3, 63.51 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:36.173, 0, 145.97 W, 100 %, 9 %, 34169 MiB
2026/09/12 13:21:36.173, 1, 63.12 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:36.173, 2, 64.45 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:36.173, 3, 63.47 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:37.173, 0, 146.47 W, 100 %, 9 %, 34169 MiB
2026/09/12 13:21:37.173, 1, 63.11 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:37.173, 2, 64.47 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:37.173, 3, 63.46 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:38.174, 0, 147.36 W, 100 %, 8 %, 34169 MiB
2026/09/12 13:21:38.174, 1, 63.12 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:38.174, 2, 64.50 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:38.174, 3, 63.46 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:39.174, 0, 145.53 W, 100 %, 7 %, 34169 MiB
2026/09/12 13:21:39.174, 1, 63.11 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:39.174, 2, 64.45 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:39.174, 3, 63.50 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:40.174, 0, 157.86 W, 100 %, 10 %, 34169 MiB
2026/09/12 13:21:40.174, 1, 63.08 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:40.174, 2, 64.43 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:40.174, 3, 63.49 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:41.174, 0, 146.62 W, 100 %, 9 %, 34169 MiB
2026/09/12 13:21:41.174, 1, 63.11 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:41.174, 2, 64.50 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:41.174, 3, 63.47 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:42.175, 0, 147.05 W, 100 %, 8 %, 34169 MiB
2026/09/12 13:21:42.175, 1, 63.10 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:42.175, 2, 64.44 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:42.175, 3, 63.56 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:43.175, 0, 147.05 W, 100 %, 7 %, 34169 MiB
2026/09/12 13:21:43.175, 1, 63.10 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:43.175, 2, 64.51 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:43.175, 3, 63.45 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:44.175, 0, 146.03 W, 100 %, 7 %, 34169 MiB
2026/09/12 13:21:44.175, 1, 63.12 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:44.175, 2, 64.49 W, 0 %, 0 %, 4 MiB
