timestamp, index, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2026/09/12 14:10:52.501, 0, 62.58 W, 0 %, 0 %, 0 MiB
2026/09/12 14:10:52.507, 1, 63.14 W, 0 %, 0 %, 0 MiB
2026/09/12 14:10:52.512, 2, 64.51 W, 0 %, 0 %, 0 MiB
2026/09/12 14:10:52.517, 3, 63.48 W, 0 %, 0 %, 0 MiB
2026/09/12 14:10:53.523, 0, 62.62 W, 0 %, 0 %, 0 MiB
2026/09/12 14:10:53.523, 1, 63.14 W, 0 %, 0 %, 0 MiB
2026/09/12 14:10:53.523, 2, 64.48 W, 0 %, 0 %, 0 MiB
2026/09/12 14:10:53.523, 3, 63.49 W, 0 %, 0 %, 0 MiB
2026/09/12 14:10:54.523, 0, 62.60 W, 0 %, 0 %, 0 MiB
2026/09/12 14:10:54.523, 1, 63.13 W, 0 %, 0 %, 0 MiB
2026/09/12 14:10:54.523, 2, 64.51 W, 0 %, 0 %, 0 MiB
2026/09/12 14:10:54.523, 3, 63.53 W, 0 %, 0 %, 0 MiB
2026/09/12 14:10:55.523, 0, 62.60 W, 0 %, 0 %, 0 MiB
2026/09/12 14:10:55.523, 1, 63.11 W, 0 %, 0 %, 0 MiB
2026/09/12 14:10:55.523, 2, 64.44 W, 0 %, 0 %, 0 MiB
2026/09/12 14:10:55.523, 3, 63.44 W, 0 %, 0 %, 0 MiB
2026/09/12 14:10:56.523, 0, 62.60 W, 0 %, 0 %, 0 MiB
2026/09/12 14:10:56.523, 1, 63.13 W, 0 %, 0 %, 0 MiB
2026/09/12 14:10:56.523, 2, 64.52 W, 0 %, 0 %, 0 MiB
2026/09/12 14:10:56.523, 3, 63.39 W, 0 %, 0 %, 0 MiB
2026/09/12 14:10:57.524, 0, 62.61 W, 0 %, 0 %, 0 MiB
2026/09/12 14:10:57.524, 1, 63.14 W, 0 %, 0 %, 0 MiB
2026/09/12 14:10:57.524, 2, 64.47 W, 0 %, 0 %, 0 MiB
2026/09/12 14:10:57.524, 3, 63.46 W, 0 %, 0 %, 0 MiB
