timestamp, index, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], utilization.gpu [%], memory.used [MiB]
2026/09/18 17:46:06.138, 0, 345 MHz, 2619 MHz, 63.47 W, 0 %, 0 MiB
2026/09/18 17:46:06.241, 0, 345 MHz, 2619 MHz, 63.47 W, 0 %, 0 MiB
2026/09/18 17:46:06.341, 0, 345 MHz, 2619 MHz, 63.46 W, 0 %, 0 MiB
2026/09/18 17:46:06.442, 0, 345 MHz, 2619 MHz, 63.43 W, 0 %, 0 MiB
2026/09/18 17:46:06.542, 0, 345 MHz, 2619 MHz, 63.43 W, 0 %, 0 MiB
2026/09/18 17:46:06.642, 0, 345 MHz, 2619 MHz, 63.45 W, 0 %, 0 MiB
2026/09/18 17:46:06.742, 0, 345 MHz, 2619 MHz, 63.42 W, 0 %, 0 MiB
2026/09/18 17:46:06.842, 0, 345 MHz, 2619 MHz, 63.40 W, 0 %, 0 MiB
2026/09/18 17:46:06.942, 0, 345 MHz, 2619 MHz, 63.41 W, 0 %, 0 MiB
2026/09/18 17:46:07.042, 0, 345 MHz, 2619 MHz, 63.39 W, 0 %, 0 MiB
2026/09/18 17:46:07.142, 0, 345 MHz, 2619 MHz, 63.39 W, 0 %, 0 MiB
2026/09/18 17:46:07.243, 0, 345 MHz, 2619 MHz, 63.40 W, 0 %, 0 MiB
2026/09/18 17:46:07.343, 0, 345 MHz, 2619 MHz, 63.40 W, 0 %, 0 MiB
2026/09/18 17:46:07.443, 0, 345 MHz, 2619 MHz, 63.41 W, 0 %, 0 MiB
2026/09/18 17:46:07.545, 0, 345 MHz, 2619 MHz, 63.44 W, 0 %, 0 MiB
2026/09/18 17:46:07.645, 0, 345 MHz, 2619 MHz, 63.43 W, 0 %, 0 MiB
2026/09/18 17:46:07.745, 0, 345 MHz, 2619 MHz, 63.44 W, 0 %, 0 MiB
2026/09/18 17:46:07.845, 0, 345 MHz, 2619 MHz, 63.42 W, 0 %, 0 MiB
2026/09/18 17:46:07.946, 0, 345 MHz, 2619 MHz, 63.42 W, 0 %, 0 MiB
2026/09/18 17:46:08.046, 0, 345 MHz, 2619 MHz, 63.43 W, 0 %, 0 MiB
2026/09/18 17:46:08.147, 0, 345 MHz, 2619 MHz, 63.41 W, 0 %, 0 MiB
2026/09/18 17:46:08.247, 0, 345 MHz, 2619 MHz, 63.39 W, 0 %, 0 MiB
2026/09/18 17:46:08.347, 0, 345 MHz, 2619 MHz, 63.39 W, 0 %, 0 MiB
2026/09/18 17:46:08.447, 0, 345 MHz, 2619 MHz, 63.42 W, 0 %, 0 MiB
2026/09/18 17:46:08.547, 0, 345 MHz, 2619 MHz, 63.41 W, 0 %, 0 MiB
2026/09/18 17:46:08.648, 0, 345 MHz, 2619 MHz, 63.40 W, 0 %, 0 MiB
2026/09/18 17:46:08.748, 0, 345 MHz, 2619 MHz, 63.39 W, 0 %, 0 MiB
2026/09/18 17:46:08.848, 0, 345 MHz, 2619 MHz, 63.40 W, 0 %, 0 MiB
2026/09/18 17:46:08.948, 0, 345 MHz, 2619 MHz, 63.43 W, 0 %, 0 MiB
2026/09/18 17:46:09.048, 0, 345 MHz, 2619 MHz, 63.44 W, 0 %, 0 MiB
2026/09/18 17:46:09.150, 0, 345 MHz, 2619 MHz, 63.43 W, 0 %, 0 MiB
2026/09/18 17:46:09.250, 0, 345 MHz, 2619 MHz, 63.42 W, 0 %, 0 MiB
2026/09/18 17:46:09.350, 0, 345 MHz, 2619 MHz, 63.40 W, 0 %, 0 MiB
2026/09/18 17:46:09.450, 0, 345 MHz, 2619 MHz, 63.38 W, 0 %, 0 MiB
2026/09/18 17:46:09.550, 0, 345 MHz, 2619 MHz, 63.37 W, 0 %, 0 MiB
2026/09/18 17:46:09.650, 0, 345 MHz, 2619 MHz, 63.37 W, 0 %, 0 MiB
2026/09/18 17:46:09.751, 0, 345 MHz, 2619 MHz, 63.35 W, 0 %, 0 MiB
2026/09/18 17:46:09.851, 0, 345 MHz, 2619 MHz, 63.39 W, 0 %, 0 MiB
2026/09/18 17:46:09.951, 0, 345 MHz, 2619 MHz, 63.38 W, 0 %, 0 MiB
2026/09/18 17:46:10.051, 0, 345 MHz, 2619 MHz, 63.38 W, 0 %, 0 MiB
2026/09/18 17:46:10.151, 0, 345 MHz, 2619 MHz, 63.37 W, 0 %, 0 MiB
2026/09/18 17:46:10.251, 0, 345 MHz, 2619 MHz, 63.40 W, 0 %, 0 MiB
2026/09/18 17:46:10.351, 0, 345 MHz, 2619 MHz, 63.42 W, 0 %, 0 MiB
2026/09/18 17:46:10.451, 0, 345 MHz, 2619 MHz, 63.42 W, 0 %, 0 MiB
2026/09/18 17:46:10.552, 0, 345 MHz, 2619 MHz, 63.44 W, 0 %, 0 MiB
2026/09/18 17:46:10.652, 0, 345 MHz, 2619 MHz, 63.45 W, 0 %, 0 MiB
2026/09/18 17:46:10.752, 0, 345 MHz, 2619 MHz, 63.47 W, 0 %, 0 MiB
2026/09/18 17:46:10.852, 0, 345 MHz, 2619 MHz, 63.40 W, 0 %, 0 MiB
2026/09/18 17:46:10.952, 0, 345 MHz, 2619 MHz, 63.39 W, 0 %, 0 MiB
2026/09/18 17:46:11.052, 0, 345 MHz, 2619 MHz, 63.38 W, 0 %, 0 MiB
2026/09/18 17:46:11.152, 0, 345 MHz, 2619 MHz, 63.40 W, 0 %, 0 MiB
2026/09/18 17:46:11.252, 0, 345 MHz, 2619 MHz, 63.41 W, 0 %, 0 MiB
2026/09/18 17:46:11.353, 0, 345 MHz, 2619 MHz, 63.40 W, 0 %, 0 MiB
2026/09/18 17:46:11.453, 0, 345 MHz, 2619 MHz, 63.38 W, 0 %, 0 MiB
