timestamp, index, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], utilization.gpu [%], memory.used [MiB]
2026/09/18 16:07:28.290, 0, 345 MHz, 2619 MHz, 63.57 W, 0 %, 0 MiB
2026/09/18 16:07:28.393, 0, 345 MHz, 2619 MHz, 63.55 W, 0 %, 0 MiB
2026/09/18 16:07:28.493, 0, 345 MHz, 2619 MHz, 63.57 W, 0 %, 0 MiB
2026/09/18 16:07:28.593, 0, 345 MHz, 2619 MHz, 63.54 W, 0 %, 0 MiB
2026/09/18 16:07:28.693, 0, 345 MHz, 2619 MHz, 63.55 W, 0 %, 0 MiB
2026/09/18 16:07:28.793, 0, 345 MHz, 2619 MHz, 63.54 W, 0 %, 0 MiB
2026/09/18 16:07:28.894, 0, 345 MHz, 2619 MHz, 63.56 W, 0 %, 0 MiB
2026/09/18 16:07:28.994, 0, 345 MHz, 2619 MHz, 63.55 W, 0 %, 0 MiB
2026/09/18 16:07:29.094, 0, 345 MHz, 2619 MHz, 63.57 W, 0 %, 0 MiB
2026/09/18 16:07:29.198, 0, 345 MHz, 2619 MHz, 63.56 W, 0 %, 0 MiB
2026/09/18 16:07:29.298, 0, 345 MHz, 2619 MHz, 63.55 W, 0 %, 0 MiB
2026/09/18 16:07:29.398, 0, 345 MHz, 2619 MHz, 63.56 W, 0 %, 0 MiB
2026/09/18 16:07:29.498, 0, 345 MHz, 2619 MHz, 63.58 W, 0 %, 0 MiB
2026/09/18 16:07:29.600, 0, 345 MHz, 2619 MHz, 63.59 W, 0 %, 0 MiB
2026/09/18 16:07:29.700, 0, 345 MHz, 2619 MHz, 63.60 W, 0 %, 0 MiB
2026/09/18 16:07:29.800, 0, 345 MHz, 2619 MHz, 63.58 W, 0 %, 0 MiB
2026/09/18 16:07:29.900, 0, 345 MHz, 2619 MHz, 63.58 W, 0 %, 0 MiB
2026/09/18 16:07:30.000, 0, 345 MHz, 2619 MHz, 63.58 W, 0 %, 0 MiB
2026/09/18 16:07:30.100, 0, 345 MHz, 2619 MHz, 63.55 W, 0 %, 0 MiB
2026/09/18 16:07:30.201, 0, 345 MHz, 2619 MHz, 63.56 W, 0 %, 0 MiB
2026/09/18 16:07:30.301, 0, 345 MHz, 2619 MHz, 63.55 W, 0 %, 0 MiB
2026/09/18 16:07:30.401, 0, 345 MHz, 2619 MHz, 63.56 W, 0 %, 0 MiB
2026/09/18 16:07:30.501, 0, 345 MHz, 2619 MHz, 63.55 W, 0 %, 0 MiB
2026/09/18 16:07:30.601, 0, 345 MHz, 2619 MHz, 63.53 W, 0 %, 0 MiB
2026/09/18 16:07:30.701, 0, 345 MHz, 2619 MHz, 63.51 W, 0 %, 0 MiB
2026/09/18 16:07:30.802, 0, 345 MHz, 2619 MHz, 63.52 W, 0 %, 0 MiB
2026/09/18 16:07:30.902, 0, 345 MHz, 2619 MHz, 63.52 W, 0 %, 0 MiB
2026/09/18 16:07:31.002, 0, 345 MHz, 2619 MHz, 63.54 W, 0 %, 0 MiB
2026/09/18 16:07:31.102, 0, 345 MHz, 2619 MHz, 63.55 W, 0 %, 0 MiB
2026/09/18 16:07:31.202, 0, 345 MHz, 2619 MHz, 63.55 W, 0 %, 0 MiB
2026/09/18 16:07:31.302, 0, 345 MHz, 2619 MHz, 63.56 W, 0 %, 0 MiB
2026/09/18 16:07:31.402, 0, 345 MHz, 2619 MHz, 63.53 W, 0 %, 0 MiB
2026/09/18 16:07:31.503, 0, 345 MHz, 2619 MHz, 63.51 W, 0 %, 0 MiB
2026/09/18 16:07:31.603, 0, 345 MHz, 2619 MHz, 63.54 W, 0 %, 0 MiB
2026/09/18 16:07:31.703, 0, 345 MHz, 2619 MHz, 63.57 W, 0 %, 0 MiB
2026/09/18 16:07:31.803, 0, 345 MHz, 2619 MHz, 63.57 W, 0 %, 0 MiB
2026/09/18 16:07:31.903, 0, 345 MHz, 2619 MHz, 63.56 W, 0 %, 0 MiB
2026/09/18 16:07:32.003, 0, 345 MHz, 2619 MHz, 63.56 W, 0 %, 0 MiB
2026/09/18 16:07:32.103, 0, 345 MHz, 2619 MHz, 63.56 W, 0 %, 0 MiB
2026/09/18 16:07:32.207, 0, 345 MHz, 2619 MHz, 63.60 W, 0 %, 0 MiB
2026/09/18 16:07:32.307, 0, 345 MHz, 2619 MHz, 63.60 W, 0 %, 0 MiB
2026/09/18 16:07:32.407, 0, 345 MHz, 2619 MHz, 63.58 W, 0 %, 0 MiB
2026/09/18 16:07:32.508, 0, 345 MHz, 2619 MHz, 63.60 W, 0 %, 0 MiB
2026/09/18 16:07:32.608, 0, 345 MHz, 2619 MHz, 63.58 W, 0 %, 0 MiB
2026/09/18 16:07:32.708, 0, 345 MHz, 2619 MHz, 63.54 W, 0 %, 0 MiB
2026/09/18 16:07:32.808, 0, 345 MHz, 2619 MHz, 63.54 W, 0 %, 0 MiB
2026/09/18 16:07:32.908, 0, 345 MHz, 2619 MHz, 63.54 W, 0 %, 0 MiB
2026/09/18 16:07:33.008, 0, 345 MHz, 2619 MHz, 63.52 W, 0 %, 0 MiB
2026/09/18 16:07:33.108, 0, 345 MHz, 2619 MHz, 63.49 W, 0 %, 0 MiB
2026/09/18 16:07:33.209, 0, 345 MHz, 2619 MHz, 63.47 W, 0 %, 0 MiB
2026/09/18 16:07:33.309, 0, 345 MHz, 2619 MHz, 63.47 W, 0 %, 0 MiB
2026/09/18 16:07:33.409, 0, 345 MHz, 2619 MHz, 63.48 W, 0 %, 0 MiB
2026/09/18 16:07:33.509, 0, 345 MHz, 2619 MHz, 63.50 W, 0 %, 0 MiB
2026/09/18 16:07:33.609, 0, 345 MHz, 2619 MHz, 63.48 W, 0 %, 0 MiB
2026/09/18 16:07:33.709, 0, 345 MHz, 2619 MHz, 63.52 W, 0 %, 0 MiB
2026/09/18 16:07:33.809, 0, 345 MHz, 2619 MHz, 63.53 W, 0 %, 0 MiB
2026/09/18 16:07:33.910, 0, 345 MHz, 2619 MHz, 63.53 W, 0 %, 0 MiB
2026/09/18 16:07:34.010, 0, 345 MHz, 2619 MHz, 63.53 W, 0 %, 0 MiB
2026/09/18 16:07:34.111, 0, 345 MHz, 2619 MHz, 63.54 W, 0 %, 0 MiB
2026/09/18 16:07:34.211, 0, 345 MHz, 2619 MHz, 63.53 W, 0 %, 0 MiB
2026/09/18 16:07:34.311, 0, 345 MHz, 2619 MHz, 63.53 W, 0 %, 0 MiB
2026/09/18 16:07:34.411, 0, 345 MHz, 2619 MHz, 63.51 W, 0 %, 0 MiB
2026/09/18 16:07:34.512, 0, 345 MHz, 2619 MHz, 63.48 W, 0 %, 0 MiB
2026/09/18 16:07:34.613, 0, 345 MHz, 2619 MHz, 63.47 W, 0 %, 0 MiB
2026/09/18 16:07:34.713, 0, 345 MHz, 2619 MHz, 63.46 W, 0 %, 0 MiB
2026/09/18 16:07:34.813, 0, 345 MHz, 2619 MHz, 63.46 W, 0 %, 0 MiB
2026/09/18 16:07:34.913, 0, 345 MHz, 2619 MHz, 63.45 W, 0 %, 0 MiB
2026/09/18 16:07:35.016, 0, 345 MHz, 2619 MHz, 63.46 W, 0 %, 0 MiB
2026/09/18 16:07:35.116, 0, 345 MHz, 2619 MHz, 63.47 W, 0 %, 0 MiB
2026/09/18 16:07:35.216, 0, 345 MHz, 2619 MHz, 63.49 W, 0 %, 0 MiB
2026/09/18 16:07:35.316, 0, 345 MHz, 2619 MHz, 63.49 W, 0 %, 0 MiB
2026/09/18 16:07:35.416, 0, 345 MHz, 2619 MHz, 63.52 W, 0 %, 0 MiB
2026/09/18 16:07:35.517, 0, 345 MHz, 2619 MHz, 63.52 W, 0 %, 0 MiB
2026/09/18 16:07:35.617, 0, 345 MHz, 2619 MHz, 63.53 W, 0 %, 0 MiB
2026/09/18 16:07:35.717, 0, 345 MHz, 2619 MHz, 63.53 W, 0 %, 0 MiB
2026/09/18 16:07:35.817, 0, 345 MHz, 2619 MHz, 63.53 W, 0 %, 0 MiB
2026/09/18 16:07:35.917, 0, 345 MHz, 2619 MHz, 63.54 W, 0 %, 0 MiB
2026/09/18 16:07:36.017, 0, 345 MHz, 2619 MHz, 63.56 W, 0 %, 0 MiB
2026/09/18 16:07:36.117, 0, 345 MHz, 2619 MHz, 63.57 W, 0 %, 0 MiB
2026/09/18 16:07:36.218, 0, 345 MHz, 2619 MHz, 63.55 W, 0 %, 0 MiB
2026/09/18 16:07:36.318, 0, 345 MHz, 2619 MHz, 63.57 W, 0 %, 0 MiB
2026/09/18 16:07:36.418, 0, 345 MHz, 2619 MHz, 63.55 W, 0 %, 0 MiB
2026/09/18 16:07:36.518, 0, 345 MHz, 2619 MHz, 63.59 W, 0 %, 0 MiB
2026/09/18 16:07:36.618, 0, 345 MHz, 2619 MHz, 63.58 W, 0 %, 0 MiB
2026/09/18 16:07:36.718, 0, 345 MHz, 2619 MHz, 63.57 W, 0 %, 0 MiB
2026/09/18 16:07:36.819, 0, 345 MHz, 2619 MHz, 63.58 W, 0 %, 0 MiB
2026/09/18 16:07:36.919, 0, 345 MHz, 2619 MHz, 63.56 W, 0 %, 0 MiB
2026/09/18 16:07:37.019, 0, 345 MHz, 2619 MHz, 63.56 W, 0 %, 0 MiB
2026/09/18 16:07:37.119, 0, 345 MHz, 2619 MHz, 63.54 W, 0 %, 0 MiB
2026/09/18 16:07:37.219, 0, 345 MHz, 2619 MHz, 63.56 W, 0 %, 0 MiB
2026/09/18 16:07:37.319, 0, 345 MHz, 2619 MHz, 63.55 W, 0 %, 0 MiB
2026/09/18 16:07:37.419, 0, 345 MHz, 2619 MHz, 63.55 W, 0 %, 0 MiB
2026/09/18 16:07:37.520, 0, 345 MHz, 2619 MHz, 63.53 W, 0 %, 0 MiB
2026/09/18 16:07:37.620, 0, 345 MHz, 2619 MHz, 63.52 W, 0 %, 0 MiB
2026/09/18 16:07:37.720, 0, 345 MHz, 2619 MHz, 63.54 W, 0 %, 0 MiB
2026/09/18 16:07:37.820, 0, 345 MHz, 2619 MHz, 63.53 W, 0 %, 0 MiB
2026/09/18 16:07:37.920, 0, 345 MHz, 2619 MHz, 63.53 W, 0 %, 0 MiB
2026/09/18 16:07:38.020, 0, 345 MHz, 2619 MHz, 63.51 W, 0 %, 0 MiB
2026/09/18 16:07:38.121, 0, 345 MHz, 2619 MHz, 63.51 W, 0 %, 0 MiB
2026/09/18 16:07:38.221, 0, 345 MHz, 2619 MHz, 63.52 W, 0 %, 0 MiB
2026/09/18 16:07:38.321, 0, 345 MHz, 2619 MHz, 63.50 W, 0 %, 0 MiB
2026/09/18 16:07:38.421, 0, 345 MHz, 2619 MHz, 63.51 W, 0 %, 0 MiB
2026/09/18 16:07:38.521, 0, 345 MHz, 2619 MHz, 63.52 W, 0 %, 0 MiB
2026/09/18 16:07:38.621, 0, 345 MHz, 2619 MHz, 63.52 W, 0 %, 0 MiB
2026/09/18 16:07:38.721, 0, 345 MHz, 2619 MHz, 63.49 W, 0 %, 0 MiB
2026/09/18 16:07:38.822, 0, 345 MHz, 2619 MHz, 63.46 W, 0 %, 0 MiB
2026/09/18 16:07:38.922, 0, 345 MHz, 2619 MHz, 63.45 W, 0 %, 0 MiB
2026/09/18 16:07:39.022, 0, 345 MHz, 2619 MHz, 63.49 W, 0 %, 0 MiB
2026/09/18 16:07:39.122, 0, 345 MHz, 2619 MHz, 63.52 W, 0 %, 0 MiB
2026/09/18 16:07:39.222, 0, 345 MHz, 2619 MHz, 63.52 W, 0 %, 0 MiB
2026/09/18 16:07:39.322, 0, 345 MHz, 2619 MHz, 63.51 W, 0 %, 0 MiB
2026/09/18 16:07:39.423, 0, 345 MHz, 2619 MHz, 63.51 W, 0 %, 0 MiB
2026/09/18 16:07:39.523, 0, 345 MHz, 2619 MHz, 63.53 W, 0 %, 0 MiB
2026/09/18 16:07:39.623, 0, 345 MHz, 2619 MHz, 63.53 W, 0 %, 0 MiB
2026/09/18 16:07:39.723, 0, 345 MHz, 2619 MHz, 63.55 W, 0 %, 0 MiB
2026/09/18 16:07:39.823, 0, 345 MHz, 2619 MHz, 63.58 W, 0 %, 0 MiB
2026/09/18 16:07:39.923, 0, 345 MHz, 2619 MHz, 63.59 W, 0 %, 0 MiB
2026/09/18 16:07:40.025, 0, 345 MHz, 2619 MHz, 63.57 W, 0 %, 0 MiB
2026/09/18 16:07:40.125, 0, 345 MHz, 2619 MHz, 63.54 W, 0 %, 0 MiB
2026/09/18 16:07:40.226, 0, 345 MHz, 2619 MHz, 63.52 W, 0 %, 0 MiB
2026/09/18 16:07:40.326, 0, 345 MHz, 2619 MHz, 63.51 W, 0 %, 0 MiB
2026/09/18 16:07:40.426, 0, 345 MHz, 2619 MHz, 63.51 W, 0 %, 0 MiB
2026/09/18 16:07:40.526, 0, 345 MHz, 2619 MHz, 63.52 W, 0 %, 0 MiB
2026/09/18 16:07:40.628, 0, 345 MHz, 2619 MHz, 63.53 W, 0 %, 0 MiB
2026/09/18 16:07:40.730, 0, 345 MHz, 2619 MHz, 63.50 W, 0 %, 0 MiB
2026/09/18 16:07:40.832, 0, 345 MHz, 2619 MHz, 63.48 W, 0 %, 0 MiB
2026/09/18 16:07:40.932, 0, 345 MHz, 2619 MHz, 63.49 W, 0 %, 0 MiB
2026/09/18 16:07:41.032, 0, 345 MHz, 2619 MHz, 63.51 W, 0 %, 0 MiB
2026/09/18 16:07:41.132, 0, 345 MHz, 2619 MHz, 63.51 W, 0 %, 0 MiB
2026/09/18 16:07:41.232, 0, 345 MHz, 2619 MHz, 63.53 W, 0 %, 0 MiB
2026/09/18 16:07:41.332, 0, 345 MHz, 2619 MHz, 63.53 W, 0 %, 0 MiB
2026/09/18 16:07:41.433, 0, 345 MHz, 2619 MHz, 63.51 W, 0 %, 0 MiB
2026/09/18 16:07:41.533, 0, 345 MHz, 2619 MHz, 63.48 W, 0 %, 0 MiB
2026/09/18 16:07:41.633, 0, 345 MHz, 2619 MHz, 63.46 W, 0 %, 0 MiB
2026/09/18 16:07:41.733, 0, 345 MHz, 2619 MHz, 63.48 W, 0 %, 0 MiB
2026/09/18 16:07:41.833, 0, 345 MHz, 2619 MHz, 63.50 W, 0 %, 0 MiB
2026/09/18 16:07:41.933, 0, 345 MHz, 2619 MHz, 63.49 W, 0 %, 0 MiB
2026/09/18 16:07:42.034, 0, 345 MHz, 2619 MHz, 63.48 W, 0 %, 0 MiB
2026/09/18 16:07:42.134, 0, 345 MHz, 2619 MHz, 63.49 W, 0 %, 0 MiB
2026/09/18 16:07:42.234, 0, 345 MHz, 2619 MHz, 63.47 W, 0 %, 0 MiB
2026/09/18 16:07:42.334, 0, 345 MHz, 2619 MHz, 63.46 W, 0 %, 0 MiB
2026/09/18 16:07:42.434, 0, 345 MHz, 2619 MHz, 63.45 W, 0 %, 0 MiB
2026/09/18 16:07:42.534, 0, 345 MHz, 2619 MHz, 63.49 W, 0 %, 0 MiB
2026/09/18 16:07:42.634, 0, 345 MHz, 2619 MHz, 63.51 W, 0 %, 0 MiB
2026/09/18 16:07:42.735, 0, 345 MHz, 2619 MHz, 63.52 W, 0 %, 0 MiB
2026/09/18 16:07:42.835, 0, 345 MHz, 2619 MHz, 63.53 W, 0 %, 0 MiB
2026/09/18 16:07:42.935, 0, 345 MHz, 2619 MHz, 63.55 W, 0 %, 0 MiB
2026/09/18 16:07:43.035, 0, 345 MHz, 2619 MHz, 63.54 W, 0 %, 0 MiB
2026/09/18 16:07:43.135, 0, 345 MHz, 2619 MHz, 63.52 W, 0 %, 0 MiB
2026/09/18 16:07:43.235, 0, 345 MHz, 2619 MHz, 63.51 W, 0 %, 0 MiB
2026/09/18 16:07:43.336, 0, 345 MHz, 2619 MHz, 63.55 W, 0 %, 0 MiB
2026/09/18 16:07:43.436, 0, 345 MHz, 2619 MHz, 63.53 W, 0 %, 0 MiB
2026/09/18 16:07:43.536, 0, 345 MHz, 2619 MHz, 63.51 W, 0 %, 0 MiB
2026/09/18 16:07:43.636, 0, 345 MHz, 2619 MHz, 63.49 W, 0 %, 0 MiB
2026/09/18 16:07:43.736, 0, 345 MHz, 2619 MHz, 63.45 W, 0 %, 0 MiB
2026/09/18 16:07:43.836, 0, 345 MHz, 2619 MHz, 63.40 W, 0 %, 0 MiB
2026/09/18 16:07:43.937, 0, 345 MHz, 2619 MHz, 63.38 W, 0 %, 0 MiB
2026/09/18 16:07:44.037, 0, 345 MHz, 2619 MHz, 63.39 W, 0 %, 0 MiB
2026/09/18 16:07:44.137, 0, 345 MHz, 2619 MHz, 63.42 W, 0 %, 0 MiB
2026/09/18 16:07:44.237, 0, 345 MHz, 2619 MHz, 63.44 W, 0 %, 0 MiB
2026/09/18 16:07:44.337, 0, 345 MHz, 2619 MHz, 63.40 W, 0 %, 0 MiB
2026/09/18 16:07:44.437, 0, 345 MHz, 2619 MHz, 63.42 W, 0 %, 0 MiB
2026/09/18 16:07:44.538, 0, 345 MHz, 2619 MHz, 63.39 W, 0 %, 0 MiB
2026/09/18 16:07:44.638, 0, 345 MHz, 2619 MHz, 63.39 W, 0 %, 0 MiB
2026/09/18 16:07:44.738, 0, 345 MHz, 2619 MHz, 63.40 W, 0 %, 0 MiB
2026/09/18 16:07:44.838, 0, 345 MHz, 2619 MHz, 63.42 W, 0 %, 0 MiB
2026/09/18 16:07:44.938, 0, 345 MHz, 2619 MHz, 63.41 W, 0 %, 0 MiB
2026/09/18 16:07:45.038, 0, 345 MHz, 2619 MHz, 63.38 W, 0 %, 0 MiB
2026/09/18 16:07:45.139, 0, 345 MHz, 2619 MHz, 63.36 W, 0 %, 0 MiB
2026/09/18 16:07:45.239, 0, 345 MHz, 2619 MHz, 63.36 W, 0 %, 0 MiB
2026/09/18 16:07:45.339, 0, 345 MHz, 2619 MHz, 63.37 W, 0 %, 0 MiB
