t,N,bw_gbps
0.000,0,111.515
0.250,0,111.515
0.500,2,111.515
0.750,2,111.515
1.000,2,111.515
1.250,4,111.515
1.500,4,111.515
1.750,3,111.515
2.000,4,111.515
2.250,6,111.515
2.500,5,111.515
2.750,7,111.515
3.000,7,111.515
3.250,9,111.515
3.500,9,111.515
3.750,10,111.515
4.000,10,111.515
4.250,10,111.515
4.500,9,111.515
4.750,9,111.515
5.000,10,111.515
5.250,10,111.515
5.500,10,111.515
5.750,10,111.515
6.000,9,111.515
6.250,9,111.515
6.500,9,111.515
6.750,9,111.515
7.000,8,111.515
7.250,8,111.515
7.500,8,111.515
7.750,8,111.515
8.000,7,111.515
8.250,8,111.515
8.500,8,111.515
8.750,8,111.515
9.000,8,111.515
9.250,9,111.515
9.500,9,111.515
9.750,8,111.515
10.000,8,111.515
10.250,6,111.515
10.500,6,111.515
10.750,5,111.515
11.000,5,111.515
11.250,4,111.515
11.500,3,111.515
11.750,2,111.515
12.000,3,111.515
12.250,4,111.515
12.500,4,111.515
12.750,3,111.515
13.000,3,111.515
13.250,3,111.515
13.500,3,111.515
13.750,3,111.515
14.000,5,111.515
14.250,6,111.515
14.500,6,111.515
14.750,6,111.515
15.000,6,111.515
15.250,5,111.515
15.500,6,111.515
15.750,7,111.515
16.000,7,111.515
16.250,8,111.515
16.500,8,111.515
16.750,7,111.515
17.000,8,111.515
17.250,6,111.515
17.500,7,111.515
17.750,6,111.515
18.000,8,111.515
18.250,10,111.515
18.500,10,111.515
18.750,9,111.515
19.000,9,111.515
19.250,9,111.515
19.500,10,111.515
19.750,11,111.515
20.000,10,111.515
20.250,10,111.515
20.500,11,111.515
20.750,11,111.515
21.000,12,111.515
21.250,12,111.515
21.500,11,111.515
21.750,11,111.515
22.000,11,111.515
22.250,12,111.515
22.500,12,111.515
22.750,11,111.515
23.000,11,111.515
23.250,12,111.515
23.500,12,111.515
23.750,11,111.515
24.000,12,111.515
24.250,11,111.515
24.500,10,111.515
24.750,11,111.515
